"host_id","host_url","host_name","num_of_dirty_reviews"
361928262,"https://www.airbnb.com/users/show/361928262","Rakib",1
362262455,"https://www.airbnb.com/users/show/362262455","Lana",1
363132760,"https://www.airbnb.com/users/show/363132760","Abdelvahab",1
363857968,"https://www.airbnb.com/users/show/363857968","Ali",1
364777334,"https://www.airbnb.com/users/show/364777334","Josef",1
365537015,"https://www.airbnb.com/users/show/365537015","Orhan",1
366120821,"https://www.airbnb.com/users/show/366120821","Ferdi",1
366520743,"https://www.airbnb.com/users/show/366520743","Eren",1
366549608,"https://www.airbnb.com/users/show/366549608","Gokhan",1
366906903,"https://www.airbnb.com/users/show/366906903","Gökhan",1
367990955,"https://www.airbnb.com/users/show/367990955","Muhammed",1
368423101,"https://www.airbnb.com/users/show/368423101","Sejo",1
369535177,"https://www.airbnb.com/users/show/369535177","Volkan",1
370152134,"https://www.airbnb.com/users/show/370152134","Kemal",1
372276159,"https://www.airbnb.com/users/show/372276159","Gen Suites",1
374348222,"https://www.airbnb.com/users/show/374348222","Mert",1
374687655,"https://www.airbnb.com/users/show/374687655","Ilker",1
374694076,"https://www.airbnb.com/users/show/374694076","Engin",1
375392405,"https://www.airbnb.com/users/show/375392405","Ali",1
